Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);ber_pm10;ber_no;ber_no2;ber_nox;ber_o3;ber_ben;ber_tou;ber_co

21.02.2021 21:00;39;12;31;49;31;2.3;2.2;0.5
21.02.2021 22:00;36;8;29;41;27;1.9;1.7;0.5
21.02.2021 23:00;36;6;28;38;24;2.1;2.3;0.5
22.02.2021 00:00;36;7;29;39;19;1.9;1.7;0.4
22.02.2021 01:00;36;5;24;31;21;1.9;1.5;0.4
22.02.2021 02:00;38;5;27;35;17;1.8;1.3;0.4
22.02.2021 03:00;37;4;27;32;15;1.9;1.6;0.4
22.02.2021 04:00;37;5;28;36;13;1.7;1.2;0.4
22.02.2021 05:00;37;7;26;37;13;1.7;1.3;0.4
22.02.2021 06:00;37;22;35;69;7;1.8;1.9;0.5
22.02.2021 07:00;40;48;46;120;2;2.1;1.9;0.5
22.02.2021 08:00;42;54;47;129;2;2.1;2.9;0.6
22.02.2021 09:00;45;58;46;134;6;2.2;2.8;0.6
22.02.2021 10:00;46;52;42;121;10;2.4;3.7;0.5
22.02.2021 11:00;57;39;34;94;20;2.2;2.5;0.5
22.02.2021 12:00;51;26;30;70;26;2.2;2.4;0.5
22.02.2021 13:00;55;30;35;81;27;1.8;2.0;0.5
22.02.2021 14:00;56;31;39;87;27;2.0;2.7;0.5
22.02.2021 15:00;51;29;39;83;32;2.0;3.1;0.5
22.02.2021 16:00;59;30;47;93;29;1.8;2.1;0.5
22.02.2021 17:00;73;50;63;140;17;2.0;2.5;0.8
22.02.2021 18:00;100;52;72;151;9;2.4;3.8;0.8
22.02.2021 19:00;88;51;74;151;3;3.7;5.8;0.9
22.02.2021 20:00;84;61;76;169;2;3.7;6.8;0.9
22.02.2021 21:00;74;62;70;166;2;3.6;7.3;1.0
22.02.2021 22:00;71;128;73;268;2;3.8;7.9;1.3
22.02.2021 23:00;59;104;65;224;2;4.8;11.3;1.1
23.02.2021 00:00;47;28;54;97;1;3.1;5.4;0.7
23.02.2021 01:00;43;24;50;86;0;2.5;2.8;0.6
23.02.2021 02:00;40;22;44;78;0;2.2;2.4;0.5
23.02.2021 03:00;40;20;40;71;0;2.0;2.2;0.5
23.02.2021 04:00;37;20;38;69;0;1.9;2.1;0.5
23.02.2021 05:00;38;41;38;102;0;1.8;2.2;0.5
23.02.2021 06:00;37;45;40;109;0;1.9;2.8;0.6
23.02.2021 07:00;38;84;46;174;0;2.0;2.8;0.6
23.02.2021 08:00;45;110;51;219;0;2.1;3.5;0.7
23.02.2021 09:00;53;130;52;251;1;2.7;5.4;0.8
23.02.2021 10:00;90;154;59;294;1;2.9;5.8;0.9
23.02.2021 11:00;105;93;55;197;2;3.7;8.3;0.7
23.02.2021 12:00;101;66;53;154;4;2.6;4.3;0.6
23.02.2021 13:00;102;66;54;155;5;2.0;3.8;0.6
23.02.2021 14:00;105;53;54;135;8;1.9;3.5;0.6
23.02.2021 15:00;112;40;51;111;12;1.9;3.9;0.5
23.02.2021 16:00;94;28;48;90;15;1.7;3.9;0.4
23.02.2021 17:00;117;44;58;125;6;1.6;3.4;0.6
23.02.2021 18:00;157;101;71;226;2;3.1;8.9;1.2
23.02.2021 19:00;156;117;73;251;2;5.4;15.1;1.2
23.02.2021 20:00;82;27;57;97;6;3.9;11.0;0.6
23.02.2021 21:00;65;14;45;66;13;1.8;4.7;0.5
23.02.2021 22:00;66;29;54;98;6;1.7;3.7;0.6
23.02.2021 23:00;66;132;64;266;4;3.1;8.0;1.1
24.02.2021 00:00;64;71;57;164;4;4.5;11.4;0.8
24.02.2021 01:00;53;9;46;60;8;2.5;6.2;0.5
24.02.2021 02:00;55;16;46;69;5;1.3;2.8;0.4
24.02.2021 03:00;53;36;45;100;3;1.5;3.6;0.4
24.02.2021 04:00;51;46;43;112;2;1.4;3.7;0.4
24.02.2021 05:00;50;59;45;135;2;1.4;4.4;0.4
24.02.2021 06:00;50;76;50;167;2;1.8;5.4;0.6
24.02.2021 07:00;49;98;58;207;3;1.9;5.1;0.6
24.02.2021 08:00;52;124;59;248;3;2.2;5.9;0.7
24.02.2021 09:00;64;115;58;234;4;3.0;6.1;0.8
24.02.2021 10:00;68;58;47;136;6;2.8;6.4;0.6
24.02.2021 11:00;77;34;42;95;12;2.0;4.5;0.5
24.02.2021 12:00;81;37;44;101;13;1.9;4.5;0.5
24.02.2021 13:00;74;31;44;90;21;1.3;3.0;0.4
24.02.2021 14:00;71;23;37;72;31;1.2;2.8;0.4
24.02.2021 15:00;73;19;37;65;34;1.4;3.1;0.4
24.02.2021 16:00;77;31;44;92;30;1.3;2.6;0.4
24.02.2021 17:00;82;24;42;79;28;1.0;2.5;0.5
24.02.2021 18:00;90;25;52;90;17;1.2;4.1;0.5
24.02.2021 19:00;96;37;64;120;7;2.2;5.9;0.6
24.02.2021 20:00;76;20;55;86;10;2.6;6.4;0.6
24.02.2021 21:00;78;24;57;93;6;2.5;9.0;0.6
24.02.2021 22:00;72;79;69;189;4;2.4;6.5;0.8
24.02.2021 23:00;76;128;64;259;4;3.4;9.8;1.2
25.02.2021 00:00;71;82;59;184;3;4.1;12.1;0.9
